-5.19E+04	6.68E+02	-1.16E+00	0.00E+00
-5.34E+04	6.86E+02	-1.25E+00	0.00E+00
-5.50E+04	7.08E+02	-1.35E+00	0.00E+00
-6.11E+04	8.10E+02	-1.81E+00	0.00E+00
-6.78E+04	9.22E+02	-2.30E+00	0.00E+00
-6.46E+04	8.54E+02	-1.98E+00	0.00E+00
-6.14E+04	7.84E+02	-1.66E+00	0.00E+00
-6.54E+04	8.55E+02	-2.00E+00	0.00E+00
-6.85E+04	9.10E+02	-2.28E+00	0.00E+00
-6.78E+04	8.73E+02	-2.05E+00	0.00E+00
-5.67E+04	6.72E+02	-1.17E+00	0.00E+00
-6.43E+04	7.98E+02	-1.73E+00	0.00E+00
-7.28E+04	9.40E+02	-2.35E+00	0.00E+00
-7.30E+04	9.37E+02	-2.35E+00	0.00E+00
-7.25E+04	9.26E+02	-2.32E+00	0.00E+00
-7.37E+04	9.39E+02	-2.37E+00	0.00E+00
-7.52E+04	9.56E+02	-2.44E+00	0.00E+00
-6.65E+04	8.13E+02	-1.89E+00	0.00E+00
-5.39E+04	6.11E+02	-1.11E+00	0.00E+00
-6.95E+04	8.38E+02	-1.94E+00	0.00E+00
-7.66E+04	9.34E+02	-2.27E+00	0.00E+00
-7.17E+04	8.56E+02	-1.99E+00	0.00E+00
-6.31E+04	7.20E+02	-1.49E+00	0.00E+00
-6.90E+04	8.01E+02	-1.79E+00	0.00E+00
-7.95E+04	9.55E+02	-2.36E+00	0.00E+00
-8.04E+04	9.60E+02	-2.37E+00	0.00E+00
-8.19E+04	9.74E+02	-2.41E+00	0.00E+00
-8.13E+04	9.78E+02	-2.50E+00	0.00E+00
-6.45E+04	7.33E+02	-1.64E+00	0.00E+00
-3.81E+04	3.13E+02	0.00E+00	0.00E+00
-3.80E+04	3.10E+02	0.00E+00	0.00E+00
-4.02E+04	3.26E+02	0.00E+00	0.00E+00
-4.28E+04	3.43E+02	0.00E+00	0.00E+00
-4.11E+04	3.27E+02	0.00E+00	0.00E+00
-3.93E+04	3.10E+02	0.00E+00	0.00E+00
3.19E+02	0.00E+00	0.00E+00	0.00E+00
-4.43E+04	3.43E+02	0.00E+00	0.00E+00
8.12E+01	0.00E+00	0.00E+00	0.00E+00
-3.87E+04	2.97E+02	0.00E+00	0.00E+00
1.31E+03	0.00E+00	0.00E+00	0.00E+00
1.15E+03	0.00E+00	0.00E+00	0.00E+00
